#edges
file, original, SD2, 1-2, SD2->1-2, 1-2->SD2
b08, 0, 0.0025569, 1.402E-4, 0.0033715, 0.0015058
b09, 0, 0.0059197, 1.377E-4, 0.0060935, 0.0046911
b10, 0, 0.0031835, 1.268E-4, 0.0027113, 0.0018505
b11, 0, 0.0030756, 1.165E-4, 0.0034993, 0.002506
b12, 0, 0.0069234, 1.149E-4, 0.0062049, 0.006644
b13, 0, 0.0042038, 1.42E-4, 0.00411, 0.0015423
b14, 0, 0.0055158, 1.442E-4, 0.0049794, 0.0027961
b15, 0, 0.010992, 1.495E-4, 0.0122328, 0.0085957
b16, 0, 0.0054968, 1.548E-4, 0.0050474, 0.0033692
b17, 0, 0.0055475, 1.546E-4, 0.0052015, 0.0036293
b18, 0, 0.0081713, 1.752E-4, 0.0076471, 0.0066963
c01, 0, 0.2955619, 0.0015024, 0.295852, 0.0308376
c02, 0, 0.2955128, 8.891E-4, 0.2958118, 0.0284095
c03, 0, 0.3166848, 6.797E-4, 0.3222805, 0.0712083
c04, 0, 0.3501222, 6.223E-4, 0.3543835, 0.0971833
c05, 0, 0.4651406, 6.242E-4, 0.4669262, 0.2702678
c06, 0, 0.414567, 8.113E-4, 0.4453878, 0.1911954
c07, 0, 0.4681034, 7.181E-4, 0.3948081, 0.1955196
c08, 0, 0.4301003, 7.944E-4, 0.4156362, 0.2455827
c09, 0, 0.4506065, 0.0012504, 0.4638517, 0.3003301
c10, 0, 0.5902377, 5.765E-4, 0.5913258, 0.4595873
c11, 0, 0.3883148, 0.001507, 0.3804805, 0.3796614
c12, 0, 0.3777248, 0.0014983, 0.3767674, 0.3772138
c13, 0, 0.4131041, 0.0013744, 0.4179529, 0.4145185
c14, 0, 0.4460203, 0.0012707, 0.4412285, 0.4508211
c15, 0, 0.5723255, 0.0013742, 0.5844791, 0.5856387
c16, 0, 0.3733397, 0.0088434, 0.3743526, 0.377892
c17, 0, 0.3984069, 0.0079939, 0.3926686, 0.3929613
c18, 0, 0.4146375, 0.0110168, 0.4330955, 0.4128458
c19, 0, 0.434424, 0.0097592, 0.4593723, 0.4374613
c20, 0, 0.6214068, 0.0085919, 0.633838, 0.7116954
d01, 0, 2.5161297, 0.001121, 2.4460517, 0.2121891
d02, 0, 2.5286308, 0.0015565, 2.4690727, 0.2264259
d03, 0, 2.5415329, 0.0014272, 2.672529, 0.4640567
d04, 0, 2.6658676, 0.0010712, 2.6659746, 0.5961209
d05, 0, 3.488019, 0.001024, 3.3991778, 1.9064742
d06, 0, 3.0641055, 0.0015589, 3.0819679, 1.5095659
d07, 0, 3.0390756, 0.0012784, 3.0372933, 1.4395064
d08, 0, 3.3562782, 0.0016361, 3.3815416, 1.9092811
d09, 0, 3.4347442, 0.0018345, 3.3754135, 2.1479691
d10, 0, 4.4898403, 0.0012767, 4.3330235, 3.3629006
d11, 0, 3.0604578, 0.0029556, 3.0632798, 3.1705356
d12, 0, 3.0969928, 0.0030045, 3.0776448, 3.0696002
d13, 0, 3.2334359, 0.002966, 3.2367332, 3.2262858
d14, 0, 3.5611301, 0.0031468, 3.654473, 3.5742369
d15, 0, 4.2981173, 0.0031592, 4.2760444, 4.438129
d16, 0, 2.9972612, 0.021094, 2.9726038, 2.9375521
d17, 0, 4.192166, 0.0576503, 4.117837, 3.9872614
d18, 0, 3.7410722, 0.0219025, 3.6514579, 3.9540592
d19, 0, 3.1486164, 0.0151233, 3.1892444, 3.1953322
d20, 0, 4.1394297, 0.0201507, 4.2257042, 4.2098951
e01, 0, 35.9105369, 0.003822, 35.8095091, 2.8201759
e02, 0, 35.6996307, 0.003199, 35.7403664, 3.1645051
e03, 0, 36.8911411, 0.0032604, 36.5148084, 6.2087471
e04, 0, 38.8987927, 0.0026198, 39.1376238, 8.5217376
e05, 0, 52.079906, 0.0025901, 51.6262326, 27.6239534
e06, 0, 47.3208723, 0.0044917, 46.5134897, 20.5682813
e07, 0, 46.1971944, 0.0043471, 46.0114149, 21.6929878
e08, 0, 47.0504844, 0.0046572, 47.0512269, 25.7824272
e09, 0, 49.0585727, 0.0034804, 49.345859, 30.0909385
e10, 0, 61.3652975, 0.0039527, 61.9057441, 46.1615058
e11, 0, 45.2598146, 0.0087639, 45.3921167, 45.5195144
e12, 0, 45.04308, 0.007809, 45.1583658, 45.049445
e13, 0, 46.5170397, 0.0106749, 48.7190431, 47.0501962
e14, 0, 48.3550094, 0.0075574, 47.844927, 48.4598768
e15, 0, 62.0682364, 0.0101643, 60.5008036, 61.3634281
e16, 0, 40.9192042, 0.0686009, 40.8970105, 40.856559
e17, 0, 43.5343464, 0.0714806, 43.509794, 43.4637571
e18, 0, 43.9152019, 0.0676469, 43.7812478, 43.6489513
e19, 0, 44.1162584, 0.0636171, 43.8898274, 43.7738627
e20, 0, 55.1732332, 0.0601019, 55.3844628, 55.6073481
lin01, 0, 9.693E-4, 6.91E-5, 8.728E-4, 7.089E-4
